Key,Id,Portuguese(pt),English(en),Spanish(es)
Costumer2_9,28,"Ana{} Eu vi sim… E sim, eu consegui sua cópia, aqui está.","Ana{} Yes, I saw it… And yes, I got your copy, here it is.","Ana{} Sí, lo vi… Y sí, recibí tu copia, aquí está."
Costumer2_10,29,"Mauro{} Está vendo Guedes, eu não estou ficando maluco!","Mauro{} You see Guedes, I'm not going crazy!","Mauro{} Ya ves Guedes, ¡no me estoy volviendo loco!"
Costumer2_11,30,"Mauro{} Veja os olhos brilhando lá atrás, realmente tinha uma criatura ali!","Mauro{} Look at the eyes shining back there, there really was a creature there!","Mauro{} Mira los ojos que brillan allí atrás, ¡realmente había una criatura allí!"
Costumer2_12,31,Guedes{} Não me venha com mais uma dessas maluquices do seu jornal.,Guedes{} Don't give me another one of those crazy things from your newspaper.,Guedes{} No me cuentes otra de esas locuras de tu periódico.
Costumer2_13,32,"Guedes{} Isso brilhando pode ser o reflexo de qualquer coisa, não há motivos para criar um alarde público.","Guedes{} This shining could be a reflection of anything, there is no reason to create a public fuss.","Guedes{} Este brillo puede ser reflejo de cualquier cosa, no hay por qué crear un escándalo público."
Costumer2_14,33,"Guedes{} Ande mocinha, pegue essa foto e apague o reflexo, eu sei que você consegue.","Guedes{} Come on young lady, take this photo and erase the reflection, I know you can do it.","Guedes{} Vamos señorita, toma esta foto y borra el reflejo, sé que puedes hacerlo."
Costumer2_15,34,Ana{} Vocês querem mesmo que eu retoque a foto?,Ana{} Do you really want me to retouch the photo?,Ana{} ¿De verdad quieres que retoque la foto?
Costumer2_16,35,Mauro{} Bem….,Mauro{} Well….,Mauro{} Bueno….
Costumer2_17,36,Guedes{} (Interrompe) Sim!,Guedes{} (Interrupts) Yes!,Guedes{} (interrumpe) ¡Sí!
Costumer2_18,37,"Guedes{} Ficaremos esperando aqui, não demore.","Guedes{} We'll be waiting here, don't delay.","Guedes{} Aquí te estaremos esperando, no tardes."
Costumer2_19,38,Ana{} Aqui está.,Ana{} Here it is.,Ana{} Aquí está.
Costumer2_20,39,Guedes{} Olha só para isso! Você até que é boa nisso mocinha.,"Guedes{} Look at that! You're actually good at this, young lady.","Guedes{} ¡Mira eso! Realmente eres buena en esto, jovencita."
Costumer2_21,40,"Guedes{} Pegue Mauro, essa você pode publicar no seu jornal.","Guedes{} Take Mauro, you can publish this in your newspaper.","Guedes{} Toma a Mauro, puedes publicar esto en tu periódico."
Costumer2_22,41,Mauro{} Mas e quanto as mordidas que foram encontradas no corpo?,Mauro{} But what about the bites that were found on the body?,Mauro{} ¿Pero qué pasa con las mordeduras que se encontraron en el cuerpo?
Costumer2_23,42,"Guedes{} Esse rapaz era um bêbado, vamos dizer que ele foi mexer com um cachorro de rua e foi atacado.","Guedes{} This guy was drunk, let's say he went to mess with a stray dog ​​and was attacked.","Guedes{} Este tipo estaba borracho, digamos que se fue a meter con un perro callejero y lo atacaron."
Costumer3_0,43,"Vicente{} Olá moça, eu precisava de uma cópia dessa foto no tamanho 3x4.","Vicente{} Hello lady, I needed a copy of this photo in 3x4 size.","Vicente{} Hola señora, necesitaba una copia de esta foto en tamaño 3x4."
Costumer3_1,44,Ana{} Você vai fazer um documento?,Ana{} Are you going to make a document?,Ana{} ¿Vas a hacer un documento?
Costumer3_2,45,"Ana{} Você é novo na cidade, não é? O cartório daqui não vai aceitar uma foto de fora, eles mesmos que tiram.","Ana{} You're new in town, aren't you? The registry office here will not accept a photo from outside, they take it themselves.","Ana{} Eres nueva en la ciudad, ¿no? La oficina de registro aquí no acepta una foto del exterior, la toman ellos mismos."
Costumer3_3,46,"Vicente{} A foto não é pra tirar documento não! É pra colocar no meu crachá, sou o novo engenheiro da empreiteira que está fazendo as obras de ampliação da cidade.","Vicente{} The photo is not for taking a document! It's to put on my badge, I'm the new engineer for the construction company that is carrying out the expansion works in the city.","Vicente{} ¡La foto no es para tomar documento! Es para ponerme mi placa, soy el nuevo ingeniero de la constructora que está realizando las obras de ampliación de la ciudad."
Costumer3_4,47,Ana{} Eu li sobre isso no jornal. Mas afinal o que vai ter nessa tal ampliação?,Ana{} I read about it in the newspaper. But what will this expansion entail?,Ana{} Lo leí en el periódico. ¿Pero qué implicará esta expansión?
Costumer3_5,48,"Vicente{} O projeto do Prefeito é construir uma estrutura para uma zona industrial, já tem uma fila de empresas interessadas em montar fábricas aqui.","Vicente{} The Mayor's project is to build a structure for an industrial zone, there is already a line of companies interested in setting up factories here.","Vicente{} El proyecto del Alcalde es construir una estructura para una zona industrial, ya hay una fila de empresas interesadas en instalar fábricas aquí."
Costumer3_6,49,Vicente{} Será um grande salto para o desenvolvimento econômico da cidade.,Vicente{} It will be a big leap forward for the city’s economic development.,Vicente{} Será un gran salto para el desarrollo económico de la ciudad.
Costumer3_7,50,"Vicente{} Bom, se eu deixar com você posso pegar hoje mesmo?","Vicente{} Well, if I leave it with you, can I pick it up today?","Vicente{} Bueno, si te lo dejo, ¿puedo recogerlo hoy?"
Costumer3_8,51,"Ana{} Sim, volte mais tarde e já estará pronto.","Ana{} Yes, come back later and it will be ready.","Ana{} Sí, vuelve más tarde y estará listo."
Costumer3_9,52,Ana{} Aqui está sua foto.,Ana{} Here is your photo.,Ana{} Aquí está tu foto.
Costumer3_10,53,Ana{} Sabe eu vi que tem muita gente que não está gostando nada dessa ideia de desmatar uma área para fazer essa tal zona industrial…,"Ana{} You know, I saw that there are a lot of people who don't like this idea of ​​deforesting an area to create this industrial zone...","Ana{} Sabes, vi que hay mucha gente a la que no le gusta esta idea de deforestar un área para crear esta zona industrial..."
Costumer3_11,54,Vicente{} Quando eles virem os benefícios que essas obras vão fazer com certeza vão mudar de ideia.,"Vicente{} When they see the benefits that these works will bring, they will certainly change their minds.","Vicente{} Cuando vean los beneficios que traerán estas obras, seguro que cambiarán de opinión."
Costumer3_12,55,"Vicente{} Muito obrigado pela foto, até a próxima.","Vicente{} Thank you very much for the photo, see you next time.","Vicente{} Muchas gracias por la foto, hasta la próxima."
Costumer4_0,56,"Guedes{} Bom dia senhorita Rizzo, não tive oportunidade de comentar no outro dia, mas está fazendo um ótimo trabalho cuidando da loja, seu velho pai estaria orgulhoso.","Guedes{} Good morning Miss Rizzo, I didn't have the opportunity to comment the other day, but you are doing a great job taking care of the store, your old father would be proud.","Guedes{} Buenos días señorita Rizzo, no tuve la oportunidad de comentar el otro día, pero usted está haciendo un gran trabajo cuidando la tienda, su viejo padre estaría orgulloso."
Costumer4_1,57,Ana{} Você conhecia meu pai?,Ana{} Did you know my father?,Ana{} ¿Conocías a mi padre?
Costumer4_2,58,"Guedes{} Sim, seu pai era muito conhecido na cidade, inclusive a muitos anos atrás nosso Prefeito chegou a convidá-lo a se candidatar a vereador, mas seu pai não quis.","Guedes{} Yes, your father was very well known in the city, even many years ago our Mayor invited him to run for councilman, but his father didn't want to.","Guedes{} Sí, tu padre era muy conocido en la ciudad, incluso hace muchos años nuestro Alcalde lo invitó a postularse para concejal, pero su padre no quiso."
Costumer4_3,59,"Ana{} Nossa, ele nunca me falou sobre isso. Não consigo imaginar meu pai se envolvendo na política, ainda mais se aliando com esse Prefeito…","Ana{} Wow, he never told me about that. I can't imagine my father getting involved in politics, even more so allying himself with this Mayor...","Ana{} Vaya, nunca me habló de eso. No me imagino a mi padre involucrándose en política, más aún aliándose con este Alcalde..."
Costumer4_4,60,"Guedes{} Bom, algumas pessoas não sabem aproveitar as oportunidades que a vida dá.","Guedes{} Well, some people don't know how to take advantage of the opportunities that life gives.","Guedes{} Bueno, algunas personas no saben aprovechar las oportunidades que les da la vida."
Costumer4_5,61,Ana{} Você veio aqui só falar do meu pai ou precisa de alguma coisa?,Ana{} Did you just come here to talk about my father or do you need something?,Ana{} ¿Acabas de venir aquí para hablar de mi padre o necesitas algo?
Costumer4_6,62,"Guedes{} Trouxe uma foto para revelar. Isso é material confidencial, preciso que você me garanta que você manterá sigilo.","Guedes{} I brought a photo to develop. This is confidential material, I need you to assure me that you will maintain confidentiality.","Guedes{} Traje una foto para revelar. Este es material confidencial, necesito que me asegure que mantendrá la confidencialidad."
Costumer4_7,63,"Ana{} Sou profissional Sr. Guedes, não tenho nada a ver com as fotos dos meus clientes.","Ana{} I'm a professional Mr. Guedes, I have nothing to do with my clients' photos.","Ana{} Soy una profesional Sr. Guedes, no tengo nada que ver con las fotos de mis clientes."
Costumer4_8,64,Guedes{} É bom saber. Voltarei em uma hora para buscar.,Guedes{} It's good to know. I'll be back in an hour to pick it up.,Guedes{} Es bueno saberlo. Volveré en una hora para recogerlo.
Costumer4_9,65,Guedes{} Onde está a foto?,Guedes{} Where is the photo?,Guedes{} ¿Dónde está la foto?
Costumer4_10,66,Ana{} Está aqui,Ana{} It's here,ana{} ya está aquí
Costumer4_11,67,Guedes{} Não comente com ninguém sobre o que você viu nessa foto. Isso inclui o Jornalista e até mesmo qualquer outro funcionário da guarda.,Guedes{} Don't tell anyone about what you saw in this photo. This includes the Journalist and even any other guard employee.,Guedes{} No le cuentes a nadie lo que viste en esta foto. Esto incluye al periodista e incluso a cualquier otro empleado de guardia.
Costumer4_12,68,Ana{} Está bem.,Ana{} It's fine.,Ana{} Está bien.
Costumer5_0,69,"Mauro{} Ana, você precisa revelar essa foto. É urgente!","Mauro{} Ana, you need to reveal this photo. Is it urgent!","Mauro{} Ana, tienes que revelar esta foto. ¡Es urgente!"
Costumer5_1,70,Ana{} Você tem noção de que horas são? A loja só abre amanhã de manhã.,Ana{} Do you know what time it is? The store only opens tomorrow morning.,Ana{} ¿Sabes qué hora es? La tienda sólo abre mañana por la mañana.
Costumer5_2,71,"Mauro{} Eu sei, me desculpe aparecer essa hora.","Mauro{} I know, I'm sorry to show up at this time.","Mauro{} Lo sé, lamento aparecer a esta hora."
Costumer5_3,72,Mauro{} Mas acho que essa foto vai revelar o mistério por trás das mortes que vem acontecendo.,Mauro{} But I think this photo will reveal the mystery behind the deaths that have been happening.,Mauro{} Pero creo que esta foto revelará el misterio detrás de las muertes que han estado sucediendo.
Costumer5_4,73,Ana{} Como assim?,Ana{} What do you mean?,Ana{} ¿Qué quieres decir?
Costumer5_5,74,"Mauro{} A polícia tem aplicado um toque de recolher e ninguém pode ficar na rua depois das 20h, mas hoje consegui ficar de tocaia e fotografei o momento de um ataque.","Mauro{} The police have enforced a curfew and no one can be on the street after 8pm, but today I managed to stay on the lookout and photograph the moment of an attack.","Mauro{} La policía ha impuesto toque de queda y nadie puede estar en la calle después de las 8 de la noche, pero hoy logré estar alerta y fotografiar el momento del ataque."
Costumer5_6,75,"Ana{} Então, você viu o que era?","Ana{} So, did you see what it was?","Ana{} Entonces, ¿viste lo que era?"
Costumer5_7,76,"Mauro{} Estava muito escuro e foi tudo muito rápido, eu só apontei a câmera e bati a foto. Mas têm boas chances de ter saído algo na foto, por isso vim correndo trazer para você revelar.","Mauro{} It was very dark and everything happened very quickly, I just pointed the camera and took the photo. But there's a good chance something was in the photo, so I came running to bring it to you to reveal.","Mauro{} Estaba muy oscuro y todo pasó muy rápido, solo apunté la cámara y tomé la foto. Pero es muy probable que haya algo en la foto, así que vine corriendo para entregárselo y revelarlo."
Costumer5_8,77,"Ana{} Está bem, espere aqui que eu já volto.","Ana{} Okay, wait here and I'll be right back.","Ana{} Está bien, espera aquí y ya vuelvo."
Costumer5_9,78,"Ana{} Aqui está, você realmente conseguiu fotografar a criatura. Será que isso é um bicho mesmo?","Ana{} Here it is, you actually managed to photograph the creature. Is this really an animal?","Ana{} Aquí está, lograste fotografiar a la criatura. ¿Es esto realmente un animal?"
Costumer5_10,79,"Ana{} Pena que estava muito escuro, não deu pra ver muitos detalhes…","Ana{} It's a shame it was very dark, I couldn't see many details...","Ana{} Lastima que estaba muy oscuro, no pude ver muchos detalles..."
Costumer5_11,80,"Mauro{} É isso! Olha como é gigante a boca dessa criatura, isso não é um animal qualquer.","Mauro{} That's it! Look how gigantic this creature's mouth is, it's not just any animal.","Mauro{}¡Eso es! Mira que gigantesca es la boca de esta criatura, no es un animal cualquiera."
Costumer5_12,81,"Mauro{} Eu já estava imaginando que a foto ia sair escura, foi tudo tão rápido que eu não consegui regular a câmera.","Mauro{} I was already imagining that the photo would come out dark, it all happened so quickly that I couldn't adjust the camera.","Mauro{} Ya estaba imaginando que la foto saldría oscura, todo pasó tan rápido que no podía ajustar la cámara."
Costumer5_13,82,Mauro{} Mas será que você não consegue clarear um pouco a foto para ver se aparece mais alguma coisa?,Mauro{} But can't you lighten the photo a little to see if anything else appears?,Mauro{} ¿Pero no puedes aclarar un poco la foto para ver si aparece algo más?
Costumer5_14,83,Ana{} Posso tentar.,Ana{} I can try.,Ana{} puedo intentarlo.
Costumer5_15,84,"Ana{} Pronto Mauro, fiz o melhor que pude.","Ana{} Okay Mauro, I did the best I could.","Ana{} Está bien Mauro, hice lo mejor que pude."
Costumer5_16,85,"Mauro{} Obrigado Ana, amanhã essa foto estará na capa!","Mauro{} Thanks Ana, this photo will be on the cover tomorrow!","Mauro{} Gracias Ana, ¡esta foto saldrá mañana en portada!"
Costumer5_17,86,"Guedes{} Sabia que ia te encontrar aqui! Mas o que é isso? Me dê essa foto, não ouse publicar isso no seu jornal!","Guedes{} I knew I would find you here! But what is this? Give me that photo, don't you dare publish it in your newspaper!","Guedes{} ¡Sabía que te encontraría aquí! Pero, ¿qué es esto? ¡Dame esa foto, no te atrevas a publicarla en tu periódico!"
Costumer5_18,87,Mauro{} Me devolva essa foto!,Mauro{} Give me this photo back!,Mauro{} ¡Devuélveme esta foto!
Costumer5_19,88,"Guedes{} Pode esquecer, vou apreender sua câmera e seus rolos, além disso você vai comigo pra delegacia por infringir o toque de recolher.","Guedes{} Forget it, I'm going to seize your camera and your videos, plus you're going to the police station with me for breaking curfew.","Guedes{} Olvídalo, te voy a confiscar tu cámara y tus videos, además vas a ir conmigo a la comisaría por violar el toque de queda."
Costumer5_20,89,Mauro{} Me solte!,Mauro{} Let me go!,Mauro{} ¡Déjame ir!
Costumer5_21,90,"Guedes{} Acho melhor você fechar a loja Ana, pelo decreto do Prefeito nenhum comércio pode ficar aberto depois das 19h, se não vou ter que levar você também.","Guedes{} I think you'd better close the store Ana, according to the Mayor's decree, no businesses can stay open after 7pm, otherwise I'll have to take you too.","Guedes{} Creo que será mejor que cierres la tienda Ana, según el decreto del alcalde ningún negocio puede permanecer abierto después de las 7pm, sino tendré que llevarte a ti también."
Costumer5_22,91,Ana{} Não precisa pedir duas vezes.,Ana{} You don't need to ask twice.,Ana{} No necesitas preguntar dos veces.
Costumer6_0,92,"Bilhete{} Deixe aquela primeira foto em um envelope na janela, mais tarde eu volto para buscá-la, a cidade precisa saber o que está acontecendo!","Ticket{} Leave that first photo in an envelope in the window, I'll come back later to get it, the city needs to know what's going on!","Ticket{} Deja esa primera foto en un sobre en la ventana, volveré más tarde a buscarla, ¡la ciudad necesita saber qué está pasando!"
Costumer7_0,93,"Tainá{} Olá Ana, bom dia!","Tainá{} Hello Ana, good morning!","Tainá{} Hola Ana, ¡buenos días!"
Costumer7_1,94,"Ana{} Tainá? Nossa, quanto tempo! Quase não te reconheci!","Ana{} Taina? Wow, how long! I almost didn't recognize you!","¿Ana{} Taína? ¡Guau, cuánto tiempo! ¡Casi no te reconocí!"
Costumer7_2,95,"Tainá{} Sim! Já faz quatro anos que eu me mudei, o tempo passa muito rápido!","Taina{} Yes! It's been four years since I moved, time passes so quickly!","Taina{} ¡Sí! Han pasado cuatro años desde que me mudé, ¡el tiempo pasa tan rápido!"
Costumer7_3,96,Ana{} Veio visitar a família?,Ana{} Came to visit the family?,Ana{} ¿Vino a visitar a la familia?
Costumer7_4,97,"Tainá{} Na verdade, vim buscá-los para ir embora comigo.","Tainá{} Actually, I came to pick you up to go away with me.",Tainá{} En realidad vine a recogerte para irte conmigo.
Costumer7_5,98,"Tainá{} Minha mãe me escreveu dizendo que estava com medo das mortes que vem acontecendo na cidade, mas nem todos querem se mudar.","Tainá{} My mother wrote to me saying she was scared of the deaths that have been happening in the city, but not everyone wants to move.","Tainá{} Mi mamá me escribió diciendo que tenía miedo de las muertes que han estado pasando en la ciudad, pero no todos quieren mudarse."
Costumer7_6,99,"Tainá{} Por isso aproveitamos que estamos todos juntos para tirar essa foto, queria que você a revelasse para mim.","Tainá{} That's why we took advantage of the fact that we're all together to take this photo, I wanted you to reveal it to me.","Tainá{} Por eso aprovechamos que estamos todos juntos para tomar esta foto, quería que me la revelaras."
Costumer7_7,100,"Ana{} Pode deixar, vai ser um prazer.","Ana{} You can leave it, it will be a pleasure.","Ana{} Puedes dejarlo, será un placer."
Costumer7_8,101,"Tainá{} Voltei para buscar a foto, ela já está pronta?","Tainá{} I went back to get the photo, is it ready yet?","Tainá{} Volví a buscar la foto, ¿ya está lista?"
Costumer7_9,102,Ana{} Está sim.,"Ana{} Yes, yes.","Ana{} Sí, sí."
Costumer7_10,103,"Ana{} Percebi que seu avô não está na foto, aconteceu alguma coisa?","Ana{} I noticed that your grandfather is not in the photo, did something happen?","Ana{} Noté que tu abuelo no está en la foto, ¿pasó algo?"
Costumer7_11,104,"Tainá{} Meu avô não gosta de tirar fotos, ele diz que o retrato aprisiona a alma da pessoa, ","Tainá{} My grandfather doesn't like taking photos, he says that portraits imprison the person's soul, ","Tainá{} A mi abuelo no le gusta tomar fotos, dice que los retratos aprisionan el alma de la persona, "
Costumer7_12,105,"Tainá{} ninguém antes da minha mãe tirou um retrato. É uma pena não ter um registro deles,","Tainá{} no one before my mother took a portrait. It's a shame I don't have a record of them,",Tainá{} nadie antes de mi madre tomó un retrato. Es una pena que no tenga constancia de ellos.
Costumer7_13,106,"Tainá{} mas eu respeito as crenças do meu avô, querendo ou não, são uma ligação com nossos ancestrais.","Tainá{} but I respect my grandfather's beliefs, whether we like it or not, they are a connection with our ancestors.","Tainá{} pero respeto las creencias de mi abuelo, nos guste o no, son una conexión con nuestros ancestros."
Costumer7_14,107,Ana{} Bom fotos não são a única forma de guardar recordações e você pode fazer como seu avô e continuar contando sobre ele e sobre os que vieram antes dele.,"Ana{} Well, photos are not the only way to keep memories and you can do like your grandfather and continue telling about him and those who came before him.","Ana{} Bueno, las fotos no son la única forma de guardar recuerdos y puedes hacer como tu abuelo y seguir contando sobre él y los que le precedieron."
Costumer7_15,108,"Tainá{} Muito obrigada pela foto, Ana. Se cuida!","Tainá{} Thank you very much for the photo, Ana. Take care!","Tainá{} Muchas gracias por la foto, Ana ¡Cuídate!"
Costumer8_0,109,"Guedes{} Olá mocinha, você era amiga daquele jornalista, não é?","Guedes{} Hello young lady, you were friends with that journalist, weren't you?","Guedes{} Hola señorita, usted era amiga de ese periodista, ¿no?"
Costumer8_1,110,"Guedes{} Sinto muito, isso não teria acontecido se ele tivesse escutado a polícia e respeitado o toque de recolher.","Guedes{} I'm sorry, this wouldn't have happened if he had listened to the police and respected the curfew.","Guedes{} Lo siento, esto no habría sucedido si hubiera escuchado a la policía y respetado el toque de queda."
Costumer8_2,111,Ana{} Nada disso teria acontecido se a cidade estivesse segura…,Ana{} None of this would have happened if the city had been safe...,Ana{} Nada de esto hubiera pasado si la ciudad hubiera estado segura...
Costumer8_3,112,Guedes{} O que você está insinuando? A polícia tem feito tudo que está ao alcance para manter a segurança da cidade.,Guedes{} What are you insinuating? The police have done everything in their power to keep the city safe.,Guedes{} ¿Qué estás insinuando? La policía ha hecho todo lo que estuvo a su alcance para mantener la ciudad segura.
Costumer8_4,113,Ana{} Então por que não deixaram o Mauro publicar a foto da criatura no jornal?,Ana{} So why didn't they let Mauro publish the photo of the creature in the newspaper?,Ana{} Entonces ¿por qué no dejaron que Mauro publicara la foto de la criatura en el periódico?
Costumer8_5,114,Ana{}  A população precisa saber a verdade sobre o que está acontecendo.,Ana{} The population needs to know the truth about what is happening.,Ana{} La población necesita saber la verdad sobre lo que está pasando.
Costumer8_6,115,"Guedes{} Esse jornal só quer fazer sensacionalismo para vender mais. Além disso, já pensou se essa história de monstro começa a correr por aí?","Guedes{} This newspaper just wants to create sensationalism to sell more. Besides, have you ever wondered if this monster story is starting to spread?","Guedes{} Este periódico sólo quiere crear sensacionalismo para vender más. Además, ¿alguna vez te has preguntado si esta historia de monstruos está empezando a difundirse?"
Costumer8_7,116,"Guedes{} Esse ano tem eleição e nosso Prefeito iria ficar com a reputação manchada. Ele me passou a missão de resolver essa questão sem criar alarde, e nós vamos conseguir!","Guedes{} This year there is an election and our Mayor would have his reputation tarnished. He gave me the mission of resolving this issue without creating a fuss, and we will do it!","Guedes{} Este año hay elecciones y nuestro alcalde vería su reputación empañada. Él me dio la misión de resolver este problema sin crear escándalo, ¡y lo haremos!"
Costumer8_8,117,"Ana{} Agora tudo faz sentido, esse Prefeito está mais preocupado em fazer obras para se reeleger do que na vida da população.","Ana{} Now everything makes sense, this Mayor is more concerned with carrying out works to get re-elected than with the lives of the population.","Ana{} Ahora todo tiene sentido, esta Alcaldesa está más preocupada por hacer obras para conseguir la reelección que por la vida de la población."
Costumer8_9,118,Ana{} Mas você deveria avisá-lo que se todo mundo da cidade morrer não vai sobrar ninguém pra votar nele.,"Ana{} But you should warn him that if everyone in the city dies, there won't be anyone left to vote for him.","Ana{} Pero deberías advertirle que si todos en la ciudad mueren, no quedará nadie para votar por él."
